12:23:16  |  Platform  |  Info  |  * Initialise: RenderManager  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  28
12:23:16  |  Platform  |  Info  |  RenderManager successfully initialized  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  54
12:23:16  |  Platform  |  Info  |  * Initialise: DataManager  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxdatamanager.cpp  |  24
12:23:16  |  Platform  |  Info  |  DataManager successfully initialized  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxdatamanager.cpp  |  26
12:23:16  |  Core  |  Info  |  * Initialise: Gui  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_Gui.cpp  |  76
12:23:16  |  Core  |  Info  |  * MyGUI version 3.2.0  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_Gui.cpp  |  88
12:23:16  |  Core  |  Info  |  * Initialise: ResourceManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  47
12:23:16  |  Core  |  Info  |  ResourceManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  55
12:23:16  |  Core  |  Info  |  * Initialise: LayerManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  48
12:23:16  |  Core  |  Info  |  LayerManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  56
12:23:16  |  Core  |  Info  |  * Initialise: WidgetManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  68
12:23:16  |  Core  |  Info  |  WidgetManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  99
12:23:16  |  Core  |  Info  |  * Initialise: InputManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_InputManager.cpp  |  59
12:23:16  |  Core  |  Info  |  InputManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_InputManager.cpp  |  79
12:23:16  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  51
12:23:16  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  71
12:23:16  |  Core  |  Info  |  * Initialise: SkinManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  51
12:23:16  |  Core  |  Info  |  SkinManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  61
12:23:16  |  Core  |  Info  |  * Initialise: FontManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_FontManager.cpp  |  47
12:23:16  |  Core  |  Info  |  FontManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_FontManager.cpp  |  57
12:23:16  |  Core  |  Info  |  * Initialise: ControllerManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  47
12:23:16  |  Core  |  Info  |  ControllerManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  55
12:23:16  |  Core  |  Info  |  * Initialise: PointerManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  58
12:23:16  |  Core  |  Info  |  PointerManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  77
12:23:16  |  Core  |  Info  |  * Initialise: ClipboardManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  87
12:23:16  |  Core  |  Info  |  ClipboardManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  101
12:23:16  |  Core  |  Info  |  * Initialise: LayoutManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  43
12:23:16  |  Core  |  Info  |  LayoutManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  50
12:23:16  |  Core  |  Info  |  * Initialise: DynLibManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  41
12:23:16  |  Core  |  Info  |  DynLibManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  45
12:23:16  |  Core  |  Info  |  * Initialise: PluginManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  45
12:23:16  |  Core  |  Info  |  PluginManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  49
12:23:16  |  Core  |  Info  |  * Initialise: LanguageManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  45
12:23:16  |  Core  |  Info  |  LanguageManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  49
12:23:16  |  Core  |  Info  |  * Initialise: FactoryManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  40
12:23:16  |  Core  |  Info  |  FactoryManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  42
12:23:16  |  Core  |  Info  |  * Initialise: ToolTipManager  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  48
12:23:16  |  Core  |  Info  |  ToolTipManager successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  60
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
