23:47:27  |  Platform  |  Info  |  * Initialise: RenderManager  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  28
23:47:27  |  Platform  |  Info  |  RenderManager successfully initialized  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  54
23:47:27  |  Platform  |  Info  |  * Initialise: DataManager  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXDataManager.cpp  |  24
23:47:27  |  Platform  |  Info  |  DataManager successfully initialized  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXDataManager.cpp  |  26
23:47:27  |  Core  |  Info  |  * Initialise: Gui  |  .\src\MyGUI_Gui.cpp  |  76
23:47:27  |  Core  |  Info  |  * MyGUI version 3.2.0  |  .\src\MyGUI_Gui.cpp  |  88
23:47:27  |  Core  |  Info  |  * Initialise: ResourceManager  |  .\src\MyGUI_ResourceManager.cpp  |  47
23:47:27  |  Core  |  Info  |  ResourceManager successfully initialized  |  .\src\MyGUI_ResourceManager.cpp  |  55
23:47:27  |  Core  |  Info  |  * Initialise: LayerManager  |  .\src\MyGUI_LayerManager.cpp  |  48
23:47:27  |  Core  |  Info  |  LayerManager successfully initialized  |  .\src\MyGUI_LayerManager.cpp  |  56
23:47:27  |  Core  |  Info  |  * Initialise: WidgetManager  |  .\src\MyGUI_WidgetManager.cpp  |  68
23:47:27  |  Core  |  Info  |  WidgetManager successfully initialized  |  .\src\MyGUI_WidgetManager.cpp  |  99
23:47:27  |  Core  |  Info  |  * Initialise: InputManager  |  .\src\MyGUI_InputManager.cpp  |  59
23:47:27  |  Core  |  Info  |  InputManager successfully initialized  |  .\src\MyGUI_InputManager.cpp  |  79
23:47:27  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  .\src\MyGUI_SubWidgetManager.cpp  |  51
23:47:27  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  .\src\MyGUI_SubWidgetManager.cpp  |  71
23:47:27  |  Core  |  Info  |  * Initialise: SkinManager  |  .\src\MyGUI_SkinManager.cpp  |  51
23:47:27  |  Core  |  Info  |  SkinManager successfully initialized  |  .\src\MyGUI_SkinManager.cpp  |  61
23:47:27  |  Core  |  Info  |  * Initialise: FontManager  |  .\src\MyGUI_FontManager.cpp  |  47
23:47:27  |  Core  |  Info  |  FontManager successfully initialized  |  .\src\MyGUI_FontManager.cpp  |  57
23:47:27  |  Core  |  Info  |  * Initialise: ControllerManager  |  .\src\MyGUI_ControllerManager.cpp  |  47
23:47:27  |  Core  |  Info  |  ControllerManager successfully initialized  |  .\src\MyGUI_ControllerManager.cpp  |  55
23:47:27  |  Core  |  Info  |  * Initialise: PointerManager  |  .\src\MyGUI_PointerManager.cpp  |  58
23:47:27  |  Core  |  Info  |  PointerManager successfully initialized  |  .\src\MyGUI_PointerManager.cpp  |  77
23:47:27  |  Core  |  Info  |  * Initialise: ClipboardManager  |  .\src\MyGUI_ClipboardManager.cpp  |  87
23:47:27  |  Core  |  Info  |  ClipboardManager successfully initialized  |  .\src\MyGUI_ClipboardManager.cpp  |  101
23:47:27  |  Core  |  Info  |  * Initialise: LayoutManager  |  .\src\MyGUI_LayoutManager.cpp  |  43
23:47:27  |  Core  |  Info  |  LayoutManager successfully initialized  |  .\src\MyGUI_LayoutManager.cpp  |  50
23:47:27  |  Core  |  Info  |  * Initialise: DynLibManager  |  .\src\MyGUI_DynLibManager.cpp  |  41
23:47:27  |  Core  |  Info  |  DynLibManager successfully initialized  |  .\src\MyGUI_DynLibManager.cpp  |  45
23:47:27  |  Core  |  Info  |  * Initialise: PluginManager  |  .\src\MyGUI_PluginManager.cpp  |  45
23:47:27  |  Core  |  Info  |  PluginManager successfully initialized  |  .\src\MyGUI_PluginManager.cpp  |  49
23:47:27  |  Core  |  Info  |  * Initialise: LanguageManager  |  .\src\MyGUI_LanguageManager.cpp  |  45
23:47:27  |  Core  |  Info  |  LanguageManager successfully initialized  |  .\src\MyGUI_LanguageManager.cpp  |  49
23:47:27  |  Core  |  Info  |  * Initialise: FactoryManager  |  .\src\MyGUI_FactoryManager.cpp  |  40
23:47:27  |  Core  |  Info  |  FactoryManager successfully initialized  |  .\src\MyGUI_FactoryManager.cpp  |  42
23:47:27  |  Core  |  Info  |  * Initialise: ToolTipManager  |  .\src\MyGUI_ToolTipManager.cpp  |  48
23:47:27  |  Core  |  Info  |  ToolTipManager successfully initialized  |  .\src\MyGUI_ToolTipManager.cpp  |  60
23:47:27  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
23:47:27  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
