08:20:33  |  Platform  |  Info  |  * Initialise: RenderManager  |  d:\myprojects\multiplayer\3rdparty\mygui\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  28
08:20:33  |  Platform  |  Info  |  RenderManager successfully initialized  |  d:\myprojects\multiplayer\3rdparty\mygui\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  54
08:20:33  |  Platform  |  Info  |  * Initialise: DataManager  |  d:\myprojects\multiplayer\3rdparty\mygui\platforms\directx\directxplatform\src\mygui_directxdatamanager.cpp  |  24
08:20:33  |  Platform  |  Info  |  DataManager successfully initialized  |  d:\myprojects\multiplayer\3rdparty\mygui\platforms\directx\directxplatform\src\mygui_directxdatamanager.cpp  |  26
08:20:33  |  Core  |  Info  |  * Initialise: Gui  |  .\src\MyGUI_Gui.cpp  |  76
08:20:33  |  Core  |  Info  |  * MyGUI version 3.2.0  |  .\src\MyGUI_Gui.cpp  |  88
08:20:33  |  Core  |  Info  |  * Initialise: ResourceManager  |  .\src\MyGUI_ResourceManager.cpp  |  47
08:20:33  |  Core  |  Info  |  ResourceManager successfully initialized  |  .\src\MyGUI_ResourceManager.cpp  |  55
08:20:33  |  Core  |  Info  |  * Initialise: LayerManager  |  .\src\MyGUI_LayerManager.cpp  |  48
08:20:33  |  Core  |  Info  |  LayerManager successfully initialized  |  .\src\MyGUI_LayerManager.cpp  |  56
08:20:33  |  Core  |  Info  |  * Initialise: WidgetManager  |  .\src\MyGUI_WidgetManager.cpp  |  68
08:20:33  |  Core  |  Info  |  WidgetManager successfully initialized  |  .\src\MyGUI_WidgetManager.cpp  |  99
08:20:33  |  Core  |  Info  |  * Initialise: InputManager  |  .\src\MyGUI_InputManager.cpp  |  59
08:20:33  |  Core  |  Info  |  InputManager successfully initialized  |  .\src\MyGUI_InputManager.cpp  |  79
08:20:33  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  .\src\MyGUI_SubWidgetManager.cpp  |  51
08:20:33  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  .\src\MyGUI_SubWidgetManager.cpp  |  71
08:20:33  |  Core  |  Info  |  * Initialise: SkinManager  |  .\src\MyGUI_SkinManager.cpp  |  51
08:20:33  |  Core  |  Info  |  SkinManager successfully initialized  |  .\src\MyGUI_SkinManager.cpp  |  61
08:20:33  |  Core  |  Info  |  * Initialise: FontManager  |  .\src\MyGUI_FontManager.cpp  |  47
08:20:33  |  Core  |  Info  |  FontManager successfully initialized  |  .\src\MyGUI_FontManager.cpp  |  57
08:20:33  |  Core  |  Info  |  * Initialise: ControllerManager  |  .\src\MyGUI_ControllerManager.cpp  |  47
08:20:33  |  Core  |  Info  |  ControllerManager successfully initialized  |  .\src\MyGUI_ControllerManager.cpp  |  55
08:20:33  |  Core  |  Info  |  * Initialise: PointerManager  |  .\src\MyGUI_PointerManager.cpp  |  58
08:20:33  |  Core  |  Info  |  PointerManager successfully initialized  |  .\src\MyGUI_PointerManager.cpp  |  77
08:20:33  |  Core  |  Info  |  * Initialise: ClipboardManager  |  .\src\MyGUI_ClipboardManager.cpp  |  87
08:20:33  |  Core  |  Info  |  ClipboardManager successfully initialized  |  .\src\MyGUI_ClipboardManager.cpp  |  101
08:20:33  |  Core  |  Info  |  * Initialise: LayoutManager  |  .\src\MyGUI_LayoutManager.cpp  |  43
08:20:33  |  Core  |  Info  |  LayoutManager successfully initialized  |  .\src\MyGUI_LayoutManager.cpp  |  50
08:20:33  |  Core  |  Info  |  * Initialise: DynLibManager  |  .\src\MyGUI_DynLibManager.cpp  |  41
08:20:33  |  Core  |  Info  |  DynLibManager successfully initialized  |  .\src\MyGUI_DynLibManager.cpp  |  45
08:20:33  |  Core  |  Info  |  * Initialise: PluginManager  |  .\src\MyGUI_PluginManager.cpp  |  45
08:20:33  |  Core  |  Info  |  PluginManager successfully initialized  |  .\src\MyGUI_PluginManager.cpp  |  49
08:20:33  |  Core  |  Info  |  * Initialise: LanguageManager  |  .\src\MyGUI_LanguageManager.cpp  |  45
08:20:33  |  Core  |  Info  |  LanguageManager successfully initialized  |  .\src\MyGUI_LanguageManager.cpp  |  49
08:20:33  |  Core  |  Info  |  * Initialise: FactoryManager  |  .\src\MyGUI_FactoryManager.cpp  |  40
08:20:33  |  Core  |  Info  |  FactoryManager successfully initialized  |  .\src\MyGUI_FactoryManager.cpp  |  42
